"","treatment","0","1","2","7","13","14","21","28"
"1","01H-5A-1",1,0.340909090909091,0.431818181818182,0.659090909090909,NA,0.681818181818182,0.568181818181818,NA
"2","01H-5A-180",1,0.0454545454545455,NA,0.0454545454545455,NA,0.113636363636364,0.0681818181818182,0.0454545454545455
"3","01H-5A-90",1,0,NA,0,0.0208333333333333,NA,0.0208333333333333,0.0208333333333333
"4","01H-CO-1",1,1,1,1,NA,1,0.958333333333333,NA
"5","01H-CO-180",1,0.931818181818182,NA,0.818181818181818,NA,0.75,0.704545454545455,0.659090909090909
"6","01H-CO-90",1,0.916666666666667,NA,0.875,0.854166666666667,NA,0.8125,0.8125
"7","03H-5A-1",1,0.166666666666667,0.375,0.5,NA,0.520833333333333,0.479166666666667,0.416666666666667
"8","03H-5A-180",1,0.0227272727272727,NA,0,NA,0,0,0
"9","03H-5A-90",1,0,NA,0.0208333333333333,0,NA,0.0208333333333333,0
"10","03H-CO-1",1,0.958333333333333,0.958333333333333,0.958333333333333,NA,0.958333333333333,0.9375,0.854166666666667
"11","03H-CO-180",1,0.909090909090909,NA,0.840909090909091,NA,0.75,0.704545454545455,0.659090909090909
"12","03H-CO-90",1,0.854166666666667,NA,0.833333333333333,0.833333333333333,NA,0.75,0.6875
"13","06H-5A-1",1,0.104166666666667,0.1875,0.270833333333333,NA,0.3125,0.291666666666667,0.291666666666667
"14","06H-5A-180",1,0,NA,0,NA,0.0227272727272727,0,0
"15","06H-5A-90",1,0,NA,0,0.0208333333333333,NA,0.0625,0.0416666666666667
"16","06H-CO-1",1,1,1,0.979166666666667,NA,0.958333333333333,0.895833333333333,0.895833333333333
"17","06H-CO-180",1,0.818181818181818,NA,0.727272727272727,NA,0.704545454545455,0.659090909090909,0.590909090909091
"18","06H-CO-90",1,0.916666666666667,NA,0.791666666666667,0.75,NA,0.708333333333333,0.645833333333333
"19","24H-5A-1",1,0,0,0.0208333333333333,NA,0.0208333333333333,0.0208333333333333,0.0208333333333333
"20","24H-5A-180",1,0,NA,0,NA,0,0,0.0222222222222222
"21","24H-5A-90",1,0,NA,0.0625,0.0208333333333333,NA,0,0
"22","24H-CF-1",1,0.934782608695652,0.869565217391304,0.782608695652174,NA,0.760869565217391,0.760869565217391,0.695652173913043
"23","24H-CF-180",1,0.888888888888889,NA,0.444444444444444,NA,0.111111111111111,0.0222222222222222,0
"24","24H-CF-90",1,0.8125,NA,0.5625,0.5,NA,0.395833333333333,0.25
"25","24H-CO-1",1,0.9375,0.916666666666667,0.875,NA,0.875,0.854166666666667,0.854166666666667
"26","24H-CO-180",1,1,NA,0.840909090909091,NA,0.863636363636364,0.75,0.704545454545455
"27","24H-CO-90",1,1,NA,0.958333333333333,0.895833333333333,NA,0.875,0.791666666666667
